U_eV,Status,a_Ang,b_Ang,c_Ang,gamma_deg,b_over_a,d_z_Ang,d_Cr_Cl_Ang,TOTEN_eV,sigma_xx_kB,sigma_zz_kB
0.0,Completed,5.9914,5.9914,17.6700,120.00,1.00000,2.6791,2.3525,-39.99277,-0.09,-0.42
1.0,Completed,6.0101,6.0101,17.6700,120.00,1.00000,2.6905,2.3609,-38.80670,-0.03,-0.33
2.0,Completed,6.0324,6.0324,17.6700,120.00,1.00000,2.6972,2.3695,-37.67632,-0.11,-0.12
3.0,Completed,6.0522,6.0522,17.6700,120.00,1.00000,2.7061,2.3782,-36.59858,-0.22,-0.12
4.0,Completed,6.0642,6.0642,17.6700,120.00,1.00000,2.7195,2.3860,-35.57243,0.01,-0.30
5.0,Completed,6.0853,6.0853,17.6700,120.00,1.00000,2.7281,2.3945,-34.59283,-0.09,-0.27
6.0,Completed,6.1019,6.1019,17.6700,120.00,1.00000,2.7365,2.4019,-33.66179,0.01,-0.19
