U_eV,Status,TOTEN_eV,E_fermi_eV,Cell_Magnetization_muB,Cr_Local_Moment_muB,BandGap_eV,Gap_SpinUp_eV,Gap_SpinDown_eV
0,Completed,-39.992770,-3.8036,6.00,2.91,1.8172,1.8172,3.2692
1,Completed,-38.806696,-4.1853,6.00,2.98,2.1126,2.1126,3.5386
2,Completed,-37.676322,-4.5146,6.00,3.04,2.3587,2.3587,3.8111
3,Completed,-36.598580,-4.7681,6.00,3.10,2.5356,2.5356,4.0786
4,Completed,-35.572431,-4.8565,6.00,3.17,2.5872,2.5872,4.3391
5,Completed,-34.592828,-4.9525,6.00,3.23,2.5567,2.5567,4.6103
6,Completed,-33.661786,-4.9885,6.00,3.29,2.5155,2.5155,4.8792
