Label,ID / Origin,Dimensionality,Formula,Natoms,SpaceGroup,SG_Number,Crystal_System,a,b,c,alpha,beta,gamma,Volume_per_atom,Avg_Cr_Cl,Avg_Cr_Cr,Coord_Number,Description
Our Monolayer 1x1 (Primitive),Project (Pristine 1x1),2D Monolayer,CrCl3,8,P-31m,162,trigonal,6.048498,6.048498,17.67,90.0,90.0,120.00000000000001,69.97973232706585,2.3749414944769662,3.4921019484929134,6,Single Cl-Cr-Cl layer with ~15 A vacuum along c. Hexagonal lattice.
Our Monolayer 2x2x1 (Supercell),Project (Substrate 2x2),2D Supercell,CrCl3,32,P31m,157,trigonal,12.0969953537,12.096995353703994,17.6700248718,90.0,90.0,119.99999999971563,69.97982335125934,2.3725738148833426,3.4923506475901243,6,"2x2 expansion of 1x1 monolayer (8 Cr, 24 Cl) used for TM dopant / adsorption calculations."
MP: mp-1192095 (C2/m),mp-1192095,3D Bulk,CrCl3,24,C2/m,12,monoclinic,10.93900827161736,10.93900827161736,7.790228687965521,69.25261774828037,69.25261774828037,113.9275759927737,26.986401722175454,2.4198359563433485,3.983436068339515,5,Bulk CrCl3 (Monoclinic). High-energy bulk phase (E_above_hull > 0.3 eV).
MP: mp-1193047 (C2/m),mp-1193047,3D Bulk,CrCl3,24,C2/m,12,monoclinic,10.520307162446588,10.520307162446588,7.850339428223789,70.82194160345131,70.82194160345131,111.23626497391996,27.44666240951761,2.3516106085013218,4.144256777144418,5,Bulk CrCl3 (Monoclinic). High-energy bulk phase (E_above_hull > 0.3 eV).
MP: mp-27630 (C2/m),mp-27630,3D Bulk,CrCl3,8,C2/m,12,monoclinic,5.9959697141520865,5.996073737176617,6.289957139013091,98.59360103190727,98.70652901673046,119.95495997673866,23.35860675321663,2.351013856291035,3.4619808326535737,6,Bulk CrCl3 (Monoclinic). High-temperature monoclinic C2/m bulk phase.
MP: mp-27630 (Conventional),mp-27630 (conv),3D Bulk (Conv Cell),CrCl3,16,C2/m,12,monoclinic,6.000103233030881,10.383056743673743,6.289957139013091,90.0,107.49326826246508,90.0,23.358623145651432,2.3508288929579355,3.462537129844672,6,"Conventional unit cell for mp-27630, directly showing the in-plane honeycomb dimensions."
MP: mp-567504 (R-3),mp-567504,3D Bulk,CrCl3,8,R-3,148,trigonal,6.894827952204648,6.894230452951399,6.893094831282324,51.558056298109214,51.56375734923966,51.550752701857014,23.20576342000942,2.3507673712228496,3.46091536172805,6,Bulk CrCl3 (Trigonal). Thermodynamic ground state in Materials Project.
MP: mp-567504 (Conventional),mp-567504 (conv),3D Bulk (Conv Cell),CrCl3,24,R-3,148,trigonal,5.996110061642545,5.996110061642545,17.885209180601795,90.0,90.0,120.00000000000001,23.203452303087875,2.350981491175233,3.461859180149844,6,"Conventional unit cell for mp-567504, directly showing the in-plane honeycomb dimensions."
MP: mp-569890 (P3_212),mp-569890,3D Bulk,CrCl3,24,P3_212,153,trigonal,5.993116240062765,5.99311028003761,19.457587980661188,90.00133744685625,89.99955686818095,120.00000811871868,25.218156040626173,2.350574224262191,3.4599943992027726,6,Bulk CrCl3 (Trigonal). Metastable trigonal P3_212 bulk phase.
