U_eV,N_steps,a_pre_A,b_pre_A,c_pre_A,gamma_pre_deg,a_post_A,b_post_A,c_post_A,gamma_post_deg,delta_a_A,s_xx_pre_kB,s_xx_post_kB,dz_pre_A,dz_post_A,bond_pre_A,bond_post_A
0,6,6.048498,6.048498,17.670000,120.0000,5.990893,5.990893,17.670000,120.0000,-0.057605,-5.661,-0.097,2.7000,2.6794,2.3749,2.3525
1,3,6.048498,6.048498,17.670000,120.0000,6.010109,6.010109,17.670000,120.0000,-0.038389,-3.595,-0.028,2.7000,2.6905,2.3749,2.3609
2,5,6.048498,6.048498,17.670000,120.0000,6.032419,6.032419,17.670000,120.0000,-0.016079,-1.549,-0.105,2.7000,2.6972,2.3749,2.3695
3,4,6.048498,6.048498,17.670000,120.0000,6.052172,6.052172,17.670000,120.0000,+0.003674,0.476,-0.215,2.7000,2.7061,2.3749,2.3782
4,5,6.048498,6.048498,17.670000,120.0000,6.065031,6.065031,17.670000,120.0000,+0.016533,2.436,0.006,2.7000,2.7195,2.3749,2.3862
5,6,6.048498,6.048498,17.670000,120.0000,6.085329,6.085329,17.670000,120.0000,+0.036831,4.346,-0.085,2.7000,2.7281,2.3749,2.3945
6,5,6.048498,6.048498,17.670000,120.0000,6.101869,6.101869,17.670000,120.0000,+0.053371,6.186,0.009,2.7000,2.7365,2.3749,2.4019
